ágios;AGIOS
agudo;AGUDO
alada;ALADO
alças;ALCAS
alemã;ALEMA
amapá;AMAPA
ameno;AMENO
amido;AMIDO
anéis;ANEIS
ânimo;ANIMO
ápice;APICE
árabe;ARABE
arder;ARDER
árdua;ARDUA
arpão;ARPAO
assim;ASSIM
átimo;ATIMO
átomo;ATOMO
atuar;ATUAR
áureo;AUREO
autor;AUTOR
avelã;AVELA
bacia;BACIA
bacon;BACON
balde;BALDE
banca;BANCA
bazar;BAZAR
beato;BEATO
bispo;BISPO
bloco;BLOCO
bocão;BOCAO
bolão;BOLAO
bolha;BOLHA
botar;BOTAR
boxer;BOXER
braço;BRACO
brega;BREGA
bufar;BUFAR
butiá;BUTIA
cacos;CACOS
caída;CAIDA
calmo;CALMO
canal;CANAL
canil;CANIL
caqui;CAQUI
carne;CARNE
cenas;CENAS
cetim;CETIM
chalé;CHALE
circo;CIRCO
conta;CONTA
cópia;COPIA
couve;COUVE
coxas;COXAS
credo;CREDO
criar;CRIAR
cujos;CUJOS
curso;CURSO
curva;CURVA
custo;CUSTO
débil;DEBIL
débil;DEBIL
demão;DEMAO
dendê;DENDE
depós;DEPOS
desco;DESCO
desde;DESDE
diodo;DIODO
dólar;DOLAR
donos;DONOS
doses;DOSES
dueto;DUETO
durão;DURAO
então;ENTAO
épica;EPICA
erros;ERROS
esqui;ESQUI
estão;ESTAO
estar;ESTAR
ético;ETICO
etnia;ETNIA
êxito;EXITO
êxodo;EXODO
expor;EXPOR
extra;EXTRA
facas;FACAS
faixa;FAIXA
falir;FALIR
farda;FARDA
farpa;FARPA
fazer;FAZER
febre;FEBRE
fedor;FEDOR
feias;FEIAS
fiapo;FIAPO
ficar;FICAR
final;FINAL
flúor;FLUOR
focal;FOCAL
fogão;FOGAO
fórum;FORUM
fotão;FOTAO
frear;FREAR
freio;FREIO
fungo;FUNGO
fúria;FURIA
gaita;GAITA
galão;GALAO
galho;GALHO
gália;GALIA
gambá;GAMBA
ganho;GANHO
ganso;GANSO
garça;GARCA
gases;GASES
gasto;GASTO
gatas;GATAS
gelar;GELAR
gêmeo;GEMEO
gênio;GENIO
geral;GERAL
gíria;GIRIA
globo;GLOBO
golpe;GOLPE
gorro;GORRO
gosto;GOSTO
graça;GRACA
grade;GRADE
grama;GRAMA
grãos;GRAOS
grega;GREGA
grito;GRITO
gueto;GUETO
guiar;GUIAR
guria;GURIA
hábil;HABIL
haste;HASTE
hélio;HELIO
herói;HEROI
hiato;HIATO
hinos;HINOS
honra;HONRA
horta;HORTA
horto;HORTO
humor;HUMOR
ícaro;ICARO
idade;IDADE
ideia;IDEIA
ídolo;IDOLO
idoso;IDOSO
igual;IGUAL
ileso;ILESO
ímpar;IMPAR
impôs;IMPOS
imune;IMUNE
índio;INDIO
irado;IRADO
irmão;IRMAO
